Lip,Li,Lb,Ld,Td,Tri1
2.079,1.091,1.287,3.039,132,-52
1.009,1.051,1.792,3.547,144,-96
0.882,0.852,1.258,2.729,148,-80
1.002,0.939,1.561,3.823,200,-104
1.17,1.682,1.836,3.73,144,-20
1.17,1.016,1.798,3.539,144,-160
1.295,1.237,1.446,3.052,140,-64
1.253,1.171,1.907,3.699,104,-140
0.901,0.902,1.418,3.624,196,-88
1.252,1.34,1.45,3.499,180,-28
1.147,0.908,1.784,3.961,144,-132
1.185,1.021,1.35,2.914,152,-80
1.314,1.256,1.501,3.482,228,-48
2.079,1.08,1.32,3.076,140,-48
1.342,1.239,1.448,3.204,164,-52
0.903,0.821,1.524,3.11,124,-120
1.156,1.277,1.589,3.954,200,-36
1.065,1.151,1.565,3.006,144,-92
0.718,0.779,1.672,3.689,140,-140
0.835,0.759,1.463,2.939,148,-136
0.974,1.148,1.623,2.701,116,-92
1.281,1.147,1.758,3.648,160,-84
1.164,1.053,1.264,3.194,196,-64
1.079,1.051,1.737,3.697,116,-108
1.012,1.131,1.993,3.721,128,-140
1.138,0.822,1.531,3.171,164,-140
1.188,1.07,1.582,3.395,148,-88
1.185,1.146,1.598,3.527,168,-84
1.079,0.961,1.822,3.645,120,-116
1.216,1.177,1.412,3.58,196,-60
1.216,1.252,1.614,3.916,196,-44
0.903,0.961,1.651,3.773,144,-120
0.901,0.852,1.335,3.324,216,-88
1.213,1.033,1.424,3.42,176,-104
0.966,0.928,1.693,3.217,132,-140
1.012,1.018,1.846,3.93,140,-136
0.966,1.004,1.613,3.43,132,-112
1.157,1.034,1.534,3.17,172,-88
1.182,1.103,1.327,3.302,268,-96
1.172,1.148,1.39,3.509,216,-60
1.065,0.972,1.383,3.63,180,-96
0.887,0.878,1.66,3.275,136,-132
1.182,0.838,1.326,3.863,276,-112
0.883,0.825,1.546,3.125,180,-144
1.291,0.999,1.458,3.678,200,-68
0.986,0.968,1.151,3.383,308,-68
1.283,1.176,1.865,3.374,168,-160
0.987,0.758,1.666,4.187,196,-140
